LineID	Path	Object location	Labels	
100000	C:\Users\manue\IdeaProjects\nn\..\images\s\2516267938846.jpg	{}	{}	
100001	C:\Users\manue\IdeaProjects\nn\..\images\s\332.jpg	{}	{}	
100002	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20201004_164258.jpg	{}	{}	
100003	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20201007_132104.jpg	{}	{}	
100004	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20210318_160843.jpg	{}	{}	
100005	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20210627_110240.jpg	{}	{}	
100006	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211031_103522.jpg	{}	{}	
100007	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211031_103524.jpg	{}	{}	
100008	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211031_103527.jpg	{}	{}	
100009	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211031_103528.jpg	{}	{}	
100010	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211031_103531.jpg	{}	{}	
100011	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_153254.jpg	{}	{}	
100012	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_153258.jpg	{}	{}	
100013	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_153300.jpg	{}	{}	
100014	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_153303.jpg	{}	{}	
100015	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_153306.jpg	{}	{}	
100016	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211112_175634.jpg	{}	{}	
100017	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211208_213845.jpg	{}	{}	
100018	C:\Users\manue\IdeaProjects\nn\..\images\s\IMG_20211208_213848.jpg	{}	{}	
100019	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-04 16.43.00.jpg	{}	{}	
100020	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-07 13.21.06.jpg	{}	{}	
100021	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-17 20.10.47.jpg	{}	{}	
100022	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-19 10.50.06.jpg	{}	{}	
100023	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-19 12.51.11.jpg	{}	{}	
100024	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-19 13.24.58.jpg	{}	{}	
100025	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-19 13.24.59.jpg	{}	{}	
100026	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-20 13.03.36.jpg	{}	{}	
100027	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-20 16.38.56.jpg	{}	{}	
100028	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-21 18.59.19.jpg	{}	{}	
100029	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-10-28 09.36.06.jpg	{}	{}	
100030	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-11-29 16.55.20.jpg	{}	{}	
100031	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-11-29 16.55.22.jpg	{}	{}	
100032	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-11-29 16.55.25.jpg	{}	{}	
100033	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-06 17.19.03.jpg	{}	{}	
100034	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-06 17.19.08.jpg	{}	{}	
100035	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-20 17.43.27.jpg	{}	{}	
100036	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-20 17.43.28.jpg	{}	{}	
100037	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-20 17.43.29.jpg	{}	{}	
100038	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-21 11.31.06.jpg	{}	{}	
100039	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-29 22.34.08-1.jpg	{}	{}	
100040	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-29 22.34.08.jpg	{}	{}	
100041	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-29 22.34.17.jpg	{}	{}	
100042	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-29 22.34.23.jpg	{}	{}	
100043	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-30 07.09.12.jpg	{}	{}	
100044	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-30 07.09.14.jpg	{}	{}	
100045	C:\Users\manue\IdeaProjects\nn\..\images\m\2020-12-31 08.30.55.jpg	{}	{}	
